YEAR,smallholder_share,2,3,4,5,regional_AGB_demand_per_population_total
2018,53.87,0.04735,1.23802,1.16852,119725,11846.522
2019,53.72,0.04714,1.23785,1.16445,104029,11476.385
2020,53.56,0.04693,1.23786,1.16059,90391,11116.152
2021,53.40,0.04682,1.24026,1.15898,78541,10746.408
2022,53.24,0.04672,1.24280,1.15751,68244,10387.908
2023,53.09,0.04662,1.24546,1.15616,59297,10040.348
2024,52.93,0.04652,1.24824,1.15494,51523,9703.491
2025,52.77,0.04643,1.25115,1.15384,44769,9377.039
2026,52.62,0.04634,1.25419,1.15287,38899,9060.720
2027,52.46,0.04626,1.25734,1.15201,33800,8754.267
2028,52.30,0.04619,1.26062,1.15126,29369,8457.398
2029,52.14,0.04611,1.26402,1.15063,25518,8169.890
2030,51.99,0.04605,1.26753,1.15012,22173,7891.469
2031,51.83,0.04609,1.27402,1.15229,19266,7604.818
2032,51.67,0.04613,1.28060,1.15453,16740,7328.228
2033,51.52,0.04618,1.28728,1.15685,14546,7061.363
2034,51.36,0.04622,1.29405,1.15924,12639,6803.912
2035,51.20,0.04628,1.30092,1.16170,10982,6555.533
2036,51.04,0.04633,1.30789,1.16423,9542,6315.934
2037,50.89,0.04639,1.31496,1.16683,8291,6084.819
2038,50.73,0.04644,1.32212,1.16950,7204,5861.902
2039,50.57,0.04651,1.32939,1.17225,6260,5646.905
2040,50.42,0.04657,1.33676,1.17506,5439,5439.559
2041,50.26,0.04675,1.34742,1.18075,4726,5227.154
2042,50.10,0.04693,1.35820,1.18651,4106,5022.958
2043,49.94,0.04711,1.36910,1.19232,3568,4826.650
2044,49.79,0.04729,1.38010,1.19820,3100,4637.945
2045,49.63,0.04748,1.39123,1.20415,2694,4456.536
2046,49.47,0.04767,1.40247,1.21016,2341,4282.161
2047,49.32,0.04786,1.41383,1.21623,2034,4114.541
2048,49.16,0.04805,1.42531,1.22238,1767,3953.412
2049,49.00,0.04825,1.43691,1.22859,1535,3798.539
2050,48.84,0.04844,1.44864,1.23486,1334,3649.669
2051,48.69,0.04875,1.46389,1.24410,1159,3498.442
2052,48.53,0.04907,1.47931,1.25342,1007,3353.471
2053,48.37,0.04939,1.49491,1.26284,875,3214.500
2054,48.22,0.04971,1.51068,1.27234,760,3081.279
2055,48.06,0.05003,1.52663,1.28194,661,2953.572
2056,47.90,0.05036,1.54277,1.29164,574,2831.145
2057,47.74,0.05069,1.55908,1.30143,499,2713.791
2058,47.59,0.05102,1.57559,1.31132,433,2601.294
2059,47.43,0.05135,1.59228,1.32130,377,2493.455
2060,47.27,0.05169,1.60916,1.33139,327,2390.079
2061,47.27,0.05164,1.61409,1.33156,284,2287.216
2062,47.27,0.05160,1.61904,1.33174,247,2188.776
2063,47.27,0.05155,1.62397,1.33191,215,2094.576
2064,47.27,0.05150,1.62891,1.33207,187,2004.430
2065,47.26,0.05146,1.63385,1.33224,162,1918.164
2066,47.26,0.05141,1.63880,1.33242,141,1835.608
2067,47.26,0.05136,1.64374,1.33259,122,1756.608
2068,47.26,0.05131,1.64868,1.33276,106,1681.007
2069,47.25,0.05127,1.65362,1.33293,92,1608.661
2070,47.25,0.05122,1.65857,1.33310,80,1539.428
2071,47.18,0.05140,1.67086,1.33916,70,1471.170
2072,47.10,0.05158,1.68324,1.34525,61,1405.938
2073,47.03,0.05176,1.69573,1.35140,53,1343.597
2074,46.96,0.05194,1.70833,1.35760,46,1284.017
2075,46.88,0.05212,1.72103,1.36384,40,1227.076
2076,46.81,0.05231,1.73385,1.37014,35,1172.659
2077,46.73,0.05250,1.74677,1.37649,30,1120.652
2078,46.66,0.05269,1.75980,1.38289,26,1070.950
2079,46.58,0.05287,1.77295,1.38934,23,1023.450
2080,46.50,0.05307,1.78621,1.39585,20,978.054
2081,46.36,0.05348,1.80700,1.40819,17,933.511
2082,46.22,0.05390,1.82812,1.42072,15,890.990
2083,46.07,0.05432,1.84960,1.43345,13,850.398
2084,45.93,0.05475,1.87142,1.44638,11,811.651
2085,45.78,0.05519,1.89359,1.45951,10,774.664
2086,45.64,0.05564,1.91614,1.47286,8,739.357
2087,45.49,0.05609,1.93907,1.48643,7,705.653
2088,45.34,0.05655,1.96237,1.50021,6,673.481
2089,45.19,0.05702,1.98607,1.51421,6,642.772
2090,45.04,0.05749,2.01017,1.52845,5,613.458
2091,44.85,0.05812,2.03975,1.54676,4,585.056
2092,44.66,0.05876,2.06996,1.56546,4,557.962
2093,44.47,0.05941,2.10084,1.58456,3,532.117
2094,44.28,0.06007,2.13239,1.60405,3,507.463
2095,44.08,0.06075,2.16465,1.62398,2,483.945
2096,43.88,0.06145,2.19763,1.64434,2,461.511
2097,43.69,0.06216,2.23135,1.66515,2,440.113
2098,43.49,0.06289,2.26585,1.68642,2,419.701
2099,43.29,0.06363,2.30114,1.70818,1,400.230
2100,43.08,0.06439,2.33724,1.73041,1,381.658
