time_step,pixels,percentage
1,1056532,62.95
2,1056532,62.95
3,1056532,62.95
4,1056532,62.95
5,1056532,62.95
6,1056532,62.95
7,1056532,62.95
8,1056991,62.97
9,1057037,62.98
10,1057037,62.98
11,1057037,62.98
12,1057037,62.98
13,1057037,62.98
14,1057445,63.0
15,1057445,63.0
16,1057445,63.0
17,1057445,63.0
18,1057445,63.0
19,1057445,63.0
20,1057563,63.01
21,1057563,63.01
22,1057801,63.02
23,1057801,63.02
24,1057801,63.02
25,1057801,63.02
26,1057869,63.03
27,1057869,63.03
28,1057869,63.03
29,1057869,63.03
30,1057940,63.03
31,1057940,63.03
32,1058074,63.04
33,1059335,63.11
34,1059405,63.12
35,1059405,63.12
36,1059405,63.12
37,1059522,63.12
38,1059522,63.12
39,1059522,63.12
40,1059522,63.12
41,1059522,63.12
42,1059522,63.12
43,1059522,63.12
44,1059522,63.12
45,1059522,63.12
46,1059522,63.12
47,1059522,63.12
48,1059522,63.12
49,1059522,63.12
50,1059522,63.12
51,1059522,63.12
52,1059522,63.12
53,1059522,63.12
54,1059522,63.12
55,1059522,63.12
56,1059522,63.12
57,1059522,63.12
58,1059522,63.12
59,1059522,63.12
60,1059522,63.12
61,1059522,63.12
62,1059522,63.12
63,1059522,63.12
64,1059522,63.12
65,1059522,63.12
66,1059522,63.12
67,1059522,63.12
68,1059522,63.12
69,1059522,63.12
70,1059522,63.12
71,1059522,63.12
72,1059522,63.12
73,1059522,63.12
74,1059522,63.12
75,1059522,63.12
76,1059522,63.12
77,1059522,63.12
78,1059522,63.12
79,1059522,63.12
80,1059522,63.12
81,1059522,63.12
82,1059522,63.12
83,1059522,63.12
