time_step,Aspect,pixels
1,prior corrective allocation,791021
1,post corrective allocation,791021
2,prior corrective allocation,788177
2,post corrective allocation,790733
3,prior corrective allocation,786371
3,post corrective allocation,790681
4,prior corrective allocation,784686
4,post corrective allocation,790444
5,prior corrective allocation,783076
5,post corrective allocation,789960
6,prior corrective allocation,781369
6,post corrective allocation,789304
7,prior corrective allocation,779850
7,post corrective allocation,788904
8,prior corrective allocation,778393
8,post corrective allocation,788409
9,prior corrective allocation,776848
9,post corrective allocation,787701
10,prior corrective allocation,775489
10,post corrective allocation,787191
11,prior corrective allocation,773860
11,post corrective allocation,786679
12,prior corrective allocation,772219
12,post corrective allocation,785998
13,prior corrective allocation,770603
13,post corrective allocation,785103
14,prior corrective allocation,769992
14,post corrective allocation,784341
15,prior corrective allocation,771156
15,post corrective allocation,783194
16,prior corrective allocation,774464
16,post corrective allocation,782039
17,prior corrective allocation,779760
17,post corrective allocation,781239
18,prior corrective allocation,785675
18,post corrective allocation,780652
19,prior corrective allocation,790058
19,post corrective allocation,780063
20,prior corrective allocation,791441
20,post corrective allocation,779075
21,prior corrective allocation,790817
21,post corrective allocation,778304
22,prior corrective allocation,788992
22,post corrective allocation,777495
23,prior corrective allocation,786536
23,post corrective allocation,776479
24,prior corrective allocation,784209
24,post corrective allocation,775574
25,prior corrective allocation,781999
25,post corrective allocation,774666
26,prior corrective allocation,779709
26,post corrective allocation,772370
27,prior corrective allocation,774011
27,post corrective allocation,766678
28,prior corrective allocation,768490
28,post corrective allocation,761132
29,prior corrective allocation,763000
29,post corrective allocation,755513
30,prior corrective allocation,757454
30,post corrective allocation,749718
31,prior corrective allocation,752078
31,post corrective allocation,743985
32,prior corrective allocation,746453
32,post corrective allocation,738225
33,prior corrective allocation,740624
33,post corrective allocation,732359
34,prior corrective allocation,734724
34,post corrective allocation,726338
35,prior corrective allocation,728986
35,post corrective allocation,720437
36,prior corrective allocation,723368
36,post corrective allocation,714485
37,prior corrective allocation,722286
37,post corrective allocation,713290
38,prior corrective allocation,721130
38,post corrective allocation,712006
39,prior corrective allocation,719955
39,post corrective allocation,710730
40,prior corrective allocation,718764
40,post corrective allocation,709449
41,prior corrective allocation,717600
41,post corrective allocation,708324
42,prior corrective allocation,716332
42,post corrective allocation,707019
43,prior corrective allocation,715037
43,post corrective allocation,705699
44,prior corrective allocation,713667
44,post corrective allocation,704359
45,prior corrective allocation,712398
45,post corrective allocation,703217
46,prior corrective allocation,711029
46,post corrective allocation,701923
47,prior corrective allocation,708439
47,post corrective allocation,699357
48,prior corrective allocation,706085
48,post corrective allocation,697002
49,prior corrective allocation,703486
49,post corrective allocation,694328
50,prior corrective allocation,700960
50,post corrective allocation,691687
51,prior corrective allocation,698550
51,post corrective allocation,689229
52,prior corrective allocation,696394
52,post corrective allocation,687795
53,prior corrective allocation,694157
53,post corrective allocation,685265
54,prior corrective allocation,691600
54,post corrective allocation,682559
55,prior corrective allocation,689261
55,post corrective allocation,680015
56,prior corrective allocation,686860
56,post corrective allocation,677468
57,prior corrective allocation,683223
57,post corrective allocation,670254
58,prior corrective allocation,679593
58,post corrective allocation,666230
59,prior corrective allocation,675940
59,post corrective allocation,662270
60,prior corrective allocation,671937
60,post corrective allocation,658061
61,prior corrective allocation,667943
61,post corrective allocation,654012
62,prior corrective allocation,663692
62,post corrective allocation,649672
63,prior corrective allocation,659707
63,post corrective allocation,645547
64,prior corrective allocation,655713
64,post corrective allocation,641427
65,prior corrective allocation,651660
65,post corrective allocation,637245
66,prior corrective allocation,647581
66,post corrective allocation,632942
67,prior corrective allocation,642684
67,post corrective allocation,627919
68,prior corrective allocation,637507
68,post corrective allocation,622690
69,prior corrective allocation,632360
69,post corrective allocation,617368
70,prior corrective allocation,627258
70,post corrective allocation,612083
71,prior corrective allocation,621909
71,post corrective allocation,606906
72,prior corrective allocation,616042
72,post corrective allocation,601656
73,prior corrective allocation,609788
73,post corrective allocation,596098
74,prior corrective allocation,603360
74,post corrective allocation,590554
75,prior corrective allocation,597321
75,post corrective allocation,585053
76,prior corrective allocation,591394
76,post corrective allocation,579684
