time_step,year
1,2025
2,2026
3,2027
4,2028
5,2029
6,2030
7,2031
8,2032
9,2033
10,2034
11,2035
12,2036
13,2037
14,2038
15,2039
16,2040
17,2041
18,2042
19,2043
20,2044
21,2045
22,2046
23,2047
24,2048
25,2049
26,2050
27,2051
28,2052
29,2053
30,2054
31,2055
32,2056
33,2057
34,2058
35,2059
36,2060
37,2061
38,2062
39,2063
40,2064
41,2065
42,2066
43,2067
44,2068
45,2069
46,2070
47,2071
48,2072
49,2073
50,2074
51,2075
52,2076
53,2077
54,2078
55,2079
56,2080
57,2081
58,2082
59,2083
60,2084
61,2085
62,2086
63,2087
64,2088
65,2089
66,2090
67,2091
68,2092
69,2093
70,2094
71,2095
72,2096
73,2097
74,2098
75,2099
76,2100
