time_step,potential_AGB,potential_Carbon
1,188053728.0,94026864.0
2,187044064.0,93522032.0
3,189019968.0,94509984.0
4,169734672.0,84867336.0
5,171891600.0,85945800.0
6,173823664.0,86911832.0
7,175584944.0,87792472.0
8,177486672.0,88743336.0
9,179354656.0,89677328.0
10,181143344.0,90571672.0
11,182856192.0,91428096.0
12,184491664.0,92245832.0
13,186059536.0,93029768.0
14,187545680.0,93772840.0
15,188963936.0,94481968.0
16,190318464.0,95159232.0
17,191602784.0,95801392.0
18,192833648.0,96416824.0
19,195631952.0,97815976.0
20,196091680.0,98045840.0
21,196837456.0,98418728.0
22,197654928.0,98827464.0
23,198511376.0,99255688.0
24,181019040.0,90509520.0
25,181840448.0,90920224.0
26,183875008.0,91937504.0
27,184263648.0,92131824.0
28,184980848.0,92490424.0
29,185692720.0,92846360.0
30,186399904.0,93199952.0
31,187191824.0,93595912.0
32,187808144.0,93904072.0
33,188509792.0,94254896.0
34,189334832.0,94667416.0
35,190127504.0,95063752.0
36,190887824.0,95443912.0
37,191612240.0,95806120.0
38,192302032.0,96151016.0
39,192979472.0,96489736.0
40,193680320.0,96840160.0
41,194397856.0,97198928.0
42,195101568.0,97550784.0
43,195768848.0,97884424.0
44,195113888.0,97556944.0
45,196471056.0,98235528.0
46,197397120.0,98698560.0
47,198039312.0,99019656.0
48,198529424.0,99264712.0
49,198964544.0,99482272.0
50,199368992.0,99684496.0
51,199753168.0,99876584.0
52,200103952.0,100051976.0
53,200457536.0,100228768.0
54,200857232.0,100428616.0
55,201236896.0,100618448.0
56,201607488.0,100803744.0
57,201970816.0,100985408.0
58,202315168.0,101157584.0
59,202651360.0,101325680.0
60,202968880.0,101484440.0
61,203276112.0,101638056.0
62,203569168.0,101784584.0
63,203849568.0,101924784.0
64,205800960.0,102900480.0
65,207811216.0,103905608.0
66,207818320.0,103909160.0
67,209230896.0,104615448.0
68,210415280.0,105207640.0
69,211376544.0,105688272.0
70,212162960.0,106081480.0
71,212842656.0,106421328.0
72,213463712.0,106731856.0
73,214041552.0,107020776.0
74,214609232.0,107304616.0
75,215165024.0,107582512.0
76,215694720.0,107847360.0
77,216192640.0,108096320.0
78,216636512.0,108318256.0
79,217027600.0,108513800.0
80,217317744.0,108658872.0
81,217577616.0,108788808.0
82,217822768.0,108911384.0
83,218045920.0,109022960.0
