time_step,Aspect,value
1,maximum_patch_number,5
1,total_area_of_patches,652144
2,maximum_patch_number,5
2,total_area_of_patches,650501
3,maximum_patch_number,4
3,total_area_of_patches,642183
4,maximum_patch_number,4
4,total_area_of_patches,637639
5,maximum_patch_number,4
5,total_area_of_patches,633649
6,maximum_patch_number,4
6,total_area_of_patches,631692
7,maximum_patch_number,4
7,total_area_of_patches,629349
8,maximum_patch_number,4
8,total_area_of_patches,626768
9,maximum_patch_number,4
9,total_area_of_patches,623937
10,maximum_patch_number,4
10,total_area_of_patches,621070
11,maximum_patch_number,3
11,total_area_of_patches,611430
12,maximum_patch_number,3
12,total_area_of_patches,608566
13,maximum_patch_number,3
13,total_area_of_patches,605865
14,maximum_patch_number,2
14,total_area_of_patches,597737
15,maximum_patch_number,2
15,total_area_of_patches,594665
16,maximum_patch_number,2
16,total_area_of_patches,589234
17,maximum_patch_number,2
17,total_area_of_patches,585904
18,maximum_patch_number,2
18,total_area_of_patches,581484
19,maximum_patch_number,4
19,total_area_of_patches,580480
20,maximum_patch_number,4
20,total_area_of_patches,579505
21,maximum_patch_number,4
21,total_area_of_patches,574657
22,maximum_patch_number,4
22,total_area_of_patches,571972
23,maximum_patch_number,4
23,total_area_of_patches,567550
24,maximum_patch_number,4
24,total_area_of_patches,565074
25,maximum_patch_number,4
25,total_area_of_patches,562330
26,maximum_patch_number,4
26,total_area_of_patches,563057
27,maximum_patch_number,4
27,total_area_of_patches,564985
28,maximum_patch_number,3
28,total_area_of_patches,567903
29,maximum_patch_number,2
29,total_area_of_patches,566803
30,maximum_patch_number,2
30,total_area_of_patches,567559
31,maximum_patch_number,2
31,total_area_of_patches,567312
32,maximum_patch_number,2
32,total_area_of_patches,565670
33,maximum_patch_number,3
33,total_area_of_patches,563906
34,maximum_patch_number,2
34,total_area_of_patches,562592
35,maximum_patch_number,3
35,total_area_of_patches,561483
36,maximum_patch_number,3
36,total_area_of_patches,559019
37,maximum_patch_number,4
37,total_area_of_patches,545828
38,maximum_patch_number,4
38,total_area_of_patches,543538
39,maximum_patch_number,5
39,total_area_of_patches,540998
40,maximum_patch_number,5
40,total_area_of_patches,538759
41,maximum_patch_number,5
41,total_area_of_patches,536998
42,maximum_patch_number,5
42,total_area_of_patches,535222
43,maximum_patch_number,5
43,total_area_of_patches,531163
44,maximum_patch_number,5
44,total_area_of_patches,530355
45,maximum_patch_number,5
45,total_area_of_patches,529656
46,maximum_patch_number,5
46,total_area_of_patches,529264
47,maximum_patch_number,5
47,total_area_of_patches,528722
48,maximum_patch_number,5
48,total_area_of_patches,528275
49,maximum_patch_number,5
49,total_area_of_patches,527693
50,maximum_patch_number,5
50,total_area_of_patches,527076
51,maximum_patch_number,5
51,total_area_of_patches,526148
52,maximum_patch_number,5
52,total_area_of_patches,525597
53,maximum_patch_number,5
53,total_area_of_patches,524959
54,maximum_patch_number,5
54,total_area_of_patches,523602
55,maximum_patch_number,5
55,total_area_of_patches,522307
56,maximum_patch_number,5
56,total_area_of_patches,520811
57,maximum_patch_number,5
57,total_area_of_patches,514539
58,maximum_patch_number,5
58,total_area_of_patches,513121
59,maximum_patch_number,5
59,total_area_of_patches,511441
60,maximum_patch_number,5
60,total_area_of_patches,510121
61,maximum_patch_number,5
61,total_area_of_patches,504008
62,maximum_patch_number,5
62,total_area_of_patches,502179
63,maximum_patch_number,5
63,total_area_of_patches,500652
64,maximum_patch_number,4
64,total_area_of_patches,493273
65,maximum_patch_number,4
65,total_area_of_patches,490127
66,maximum_patch_number,4
66,total_area_of_patches,487397
67,maximum_patch_number,4
67,total_area_of_patches,483512
68,maximum_patch_number,4
68,total_area_of_patches,480428
69,maximum_patch_number,5
69,total_area_of_patches,477094
70,maximum_patch_number,5
70,total_area_of_patches,472831
71,maximum_patch_number,5
71,total_area_of_patches,469199
72,maximum_patch_number,5
72,total_area_of_patches,463409
73,maximum_patch_number,5
73,total_area_of_patches,459024
74,maximum_patch_number,5
74,total_area_of_patches,454228
75,maximum_patch_number,4
75,total_area_of_patches,439654
76,maximum_patch_number,4
76,total_area_of_patches,431222
77,maximum_patch_number,4
77,total_area_of_patches,427106
78,maximum_patch_number,3
78,total_area_of_patches,417252
79,maximum_patch_number,4
79,total_area_of_patches,412108
80,maximum_patch_number,4
80,total_area_of_patches,406777
81,maximum_patch_number,5
81,total_area_of_patches,401847
82,maximum_patch_number,5
82,total_area_of_patches,398095
83,maximum_patch_number,5
83,total_area_of_patches,394398
